dept_id,source_item,target_item,price_change_events,source_up_events,source_down_events,cross_price_corr,target_dev_source_up,target_dev_source_down,absolute_cross_price_corr,direction_consistent,relationship_type,edge_strength
FOODS_2,FOODS_2_063,FOODS_2_212,34,23,11,0.651266309239577,0.0887131205454937,-1.8337674612511476,0.651266309239577,True,SUBSTITUTION_LIKE,MODERATE
FOODS_1,FOODS_1_055,FOODS_1_201,52,33,19,0.640603372356574,0.25857548727374,-0.8990227939046289,0.640603372356574,True,SUBSTITUTION_LIKE,STRONG
FOODS_3,FOODS_3_734,FOODS_3_030,56,47,9,-0.6283903544847287,-0.08544633754156966,0.9368769455451557,0.6283903544847287,True,COMPLEMENT_LIKE,MODERATE
FOODS_2,FOODS_2_291,FOODS_2_166,57,34,23,-0.6192398268629992,-1.550422176828897,-0.09814872506020597,0.6192398268629992,True,COMPLEMENT_LIKE,STRONG
FOODS_2,FOODS_2_291,FOODS_2_240,56,33,23,-0.6178625658945269,-1.924729454931102,-0.2601733411598048,0.6178625658945269,True,COMPLEMENT_LIKE,STRONG
FOODS_1,FOODS_1_055,FOODS_1_166,51,32,19,0.610663436362315,0.19286110809430468,-1.1808450848456384,0.610663436362315,True,SUBSTITUTION_LIKE,STRONG
FOODS_2,FOODS_2_285,FOODS_2_119,45,33,12,0.5927568004858086,0.16180398130198495,-1.0154570004784258,0.5927568004858086,True,SUBSTITUTION_LIKE,STRONG
FOODS_3,FOODS_3_734,FOODS_3_224,58,48,10,-0.5872453084489919,0.18662698623796048,1.3377550931120075,0.5872453084489919,True,COMPLEMENT_LIKE,STRONG
FOODS_3,FOODS_3_734,FOODS_3_727,59,49,10,-0.5820787270566471,0.25049980436312214,1.4214037870461733,0.5820787270566471,True,COMPLEMENT_LIKE,STRONG
FOODS_3,FOODS_3_231,FOODS_3_723,95,41,54,0.577336347098964,0.7559766860853195,-0.05430318531656981,0.577336347098964,True,SUBSTITUTION_LIKE,STRONG
FOODS_2,FOODS_2_285,FOODS_2_019,36,26,10,0.5740884253249914,0.33053457636538625,-0.31955526697436865,0.5740884253249914,True,SUBSTITUTION_LIKE,MODERATE
FOODS_2,FOODS_2_294,FOODS_2_183,52,21,31,-0.5731350045364456,-0.9422461053482274,0.02069373293464509,0.5731350045364456,True,COMPLEMENT_LIKE,STRONG
FOODS_3,FOODS_3_734,FOODS_3_822,58,48,10,-0.5719894032735312,0.20689171595652703,1.3233049716504592,0.5719894032735312,True,COMPLEMENT_LIKE,STRONG
FOODS_3,FOODS_3_734,FOODS_3_257,59,49,10,-0.5699658543131059,0.35675787575508083,1.439795274882146,0.5699658543131059,True,COMPLEMENT_LIKE,STRONG
